TransactionID,UserID,Timestamp,Merchant,CardType,IsForeignTransaction,IsOnline,Location,PrevTime,TravelDistanceKM,TimeDeltaHrs,Amount,SuspiciousJump,AvgAmountBefore,PrevAmount,AmountDiff,IsFraud
T0685,U001,2025-06-25 19:36:59,Tokopedia,Visa,No,No,"New York, USA",,0.0,9999.0,13.27,0,,,,0
T0384,U001,2025-06-26 00:06:56,Gucci,Visa,Yes,Yes,"Berlin, DE",2025-06-25 19:36:59,6402.432651945027,4.4991666666666665,39.85,0,13.27,13.27,26.580000000000002,1
T0111,U001,2025-06-26 01:23:47,Apple Store,Visa,No,Yes,"London, UK",2025-06-26 00:06:56,934.5233499288536,1.2808333333333333,33.52,0,26.560000000000002,39.85,6.960000000000001,0
T0543,U001,2025-06-26 04:39:03,Amazon,Mastercard,No,No,"Berlin, DE",2025-06-26 01:23:47,934.5233499288536,3.2544444444444443,15.91,0,28.88,33.52,-12.969999999999999,0
T0669,U001,2025-06-26 19:31:18,Gojek,Visa,Yes,Yes,"Lagos, NG",2025-06-26 04:39:03,5181.557344636087,14.870833333333334,41.04,0,25.6375,15.91,15.4025,1
T0182,U001,2025-06-28 03:56:31,Gojek,Visa,No,No,"San Francisco, USA",2025-06-26 19:31:18,12571.44034444796,32.42027777777778,27.08,0,28.718,41.04,-1.6380000000000017,0
T0032,U001,2025-06-28 13:44:02,Apple Store,Visa,No,Yes,"Jakarta, ID",2025-06-28 03:56:31,13950.15214468721,9.791944444444445,78.24,0,28.445000000000004,27.08,49.79499999999999,0
T0997,U001,2025-06-28 15:38:12,Alfamart,Visa,No,No,"Bangkok, TH",2025-06-28 13:44:02,2316.570665566986,1.9027777777777777,3.77,1,35.558571428571426,78.24,-31.788571428571426,1
T0077,U001,2025-06-29 13:50:51,CryptoExchange,Visa,Yes,No,"Jakarta, ID",2025-06-28 15:38:12,2316.570665566986,22.210833333333333,34.21,0,31.585,3.77,2.625,1
T0070,U001,2025-06-30 22:19:04,Alfamart,Visa,No,Yes,"San Francisco, USA",2025-06-29 13:50:51,13950.15214468721,32.47027777777778,71.04,0,31.876666666666665,34.21,39.16333333333334,0
T0914,U001,2025-06-30 22:49:25,Uniqlo,Visa,No,No,"Berlin, DE",2025-06-30 22:19:04,9128.78894430887,0.5058333333333334,230.28,1,35.793,71.04,194.487,1
T0886,U001,2025-07-01 11:39:07,Tokopedia,Visa,Yes,Yes,"Berlin, DE",2025-06-30 22:49:25,0.0,12.828333333333333,15.1,0,53.473636363636366,230.28,-38.373636363636365,1
T0645,U001,2025-07-01 17:04:51,Alfamart,Amex,No,Yes,"Berlin, DE",2025-07-01 11:39:07,0.0,5.428888888888889,348.91,0,50.27583333333334,15.1,298.6341666666667,1
T0159,U001,2025-07-02 00:07:24,CryptoExchange,Amex,No,Yes,"Singapore, SG",2025-07-01 17:04:51,9917.863301405818,7.0425,230.68,0,73.2476923076923,348.91,157.4323076923077,1
T0707,U001,2025-07-04 17:11:43,Gucci,Amex,No,No,"Jakarta, ID",2025-07-02 00:07:24,901.1649890856099,65.07194444444444,62.12,0,84.49285714285715,230.68,-22.37285714285715,0
T0012,U001,2025-07-04 20:56:16,Gojek,Mastercard,No,Yes,"Jakarta, ID",2025-07-04 17:11:43,0.0,3.7425,108.63,0,83.00133333333333,62.12,25.62866666666666,0
T0727,U001,2025-07-05 04:15:43,Tokopedia,Visa,No,Yes,"London, UK",2025-07-04 20:56:16,11718.927470539898,7.324166666666667,16.45,0,84.603125,108.63,-68.153125,0
